id_producto,nombre_producto,categoria,fecha,stock_inicial,cantidad_ingresada,cantidad_egresada,stock_final,stock_minimo,proveedor,tiempo_reposicion_dias,estado_stock
58,MACIZO REDONDO DIAM.16 - BARRA RECTIFICADA,Electrico,2025-03-11,191.0,23,19.0,195,28.0,Proveedor B,2.0,ok
59,ALLEN CAB/BOTON MET 8X16 304,Electrico,2025-01-17,135.0,13,19.0,129,22.0,Proveedor A,14.0,ok
60,CORTE LASER CON PLIEGUE,Electrico,2025-01-29,179.0,12,23.0,168,18.0,Proveedor B,8.0,ok
61,redondo trafil 20mm,Electrico,2025-01-01,166.0,2,36.0,132,31.0,Proveedor A,6.0,ok
62,macizo trafilar 304 12mm,Electrico,2025-01-18,163.0,7,33.0,137,41.0,Proveedor C,3.0,ok
63,cable envainado 2 x 1 mm,Electrico,2025-06-18,185.0,4,1.0,3561,18.0,Proveedor B,13.0,ok
64,ALLEN C/CILINDRIC. MET 8X30 304,Herramientas,2025-05-06,52.0,6,42.0,16,21.0,Proveedor B,8.0,critico
65,tuerca 5/8 ,Mecanica,2025-04-02,98.0,16,8.0,106,45.0,Proveedor A,2.0,ok
66,patas m16 con vastago,Electrico,2025-01-04,192.0,13,19.0,186,45.0,Proveedor B,8.0,ok
67,"CONECTOR 90° M 1/2"" ZOLODA",Hidraulico,2025-04-11,194.0,15,13.0,196,19.0,Proveedor A,6.0,ok
68,reparacion de banda pu,Herramientas,2025-04-03,137.0,9,42.0,104,48.0,Proveedor B,1.0,ok
69,"RACOR RECTO 1/8""-4",Electrico,2025-06-15,162.0,20,8.0,174,37.0,Proveedor C,9.0,ok
70,"CONECTOR RECTO M. 1/2"" ZOLODA",Hidraulico,2025-06-12,135.0,33,,155,20.0,Proveedor C,3.0,ok
71,BULON CAB.EXAG 10X25,Hidraulico,2025-01-11,85.0,34,16.0,103,14.0,Proveedor C,14.0,ok
72,ucfl205 rodamiento,Electrico,2025-04-29,46.0,23,16.0,53,37.0,,14.0,bajo
73,delring,Electrico,2025-02-23,173.0,1,16.0,158,11.0,Proveedor B,5.0,ok
74,conectores p/barriles mod. G- quilmes - krome,Hidraulico,2025-04-27,143.0,20,24.0,139,28.0,Proveedor C,3.0,ok
75,allen m6x20,Electrico,2025-02-28,131.0,14,34.0,111,11.0,Proveedor C,3.0,ok
76,conector interface g,Mecanica,2025-01-11,96.0,11,21.0,86,13.0,Proveedor C,9.0,ok
77,VARILLA ROSCADA HO ZIB/AZUL10X1.5,Electrico,2025-02-12,152.0,14,13.0,153,38.0,Proveedor C,11.0,ok
78,PULSADOR RASANTE ROJO 22MM,Hidraulico,2025-02-09,74.0,14,0.0,88,35.0,Proveedor A,8.0,ok
79,caño aluminio ,Herramientas,2025-03-20,51.0,0,30.0,21,10.0,Proveedor C,8.0,ok
80,"Reductor de velocidad 75 1 7,5",Herramientas,2025-03-30,175.0,15,17.0,173,13.0,Proveedor A,13.0,ok
81,terminal ojal y orquila rojo,Herramientas,2025-03-08,43.0,19,20.0,42,23.0,Proveedor C,3.0,ok
82,reductor 75,Electrico,2025-05-04,198.0,17,6.0,209,41.0,Proveedor A,7.0,ok
83,brida motor ,Mecanica,2025-04-03,58.0,10,13.0,55,36.0,Proveedor C,14.0,ok
84,"cable unitronik4x0,34",Mecanica,2025-03-20,94.0,15,3.0,106,32.0,Proveedor A,5.0,ok
85,G1/8 5/2 sol res A*220AC,Hidraulico,2025-05-20,122.0,9,18.0,113,16.0,Proveedor C,5.0,ok
86,ucfb 205 rec acetal x 25mm,,2025-05-30,149.0,15,28.0,136,32.0,Proveedor A,9.0,ok
87,delring,Electrico,2025-02-13,33.0,11,22.0,22,20.0,Proveedor C,7.0,bajo
88,spageti alta temp diam 6,Herramientas,2025-04-19,125.0,20,4.0,141,42.0,Proveedor B,3.0,ok
89,incerto com 09t304,Electrico,2025-04-17,54.0,19,23.0,50,28.0,Proveedor C,12.0,ok
90,"mecha 9,75",Mecanica,2025-01-06,111.0,4,32.0,83,20.0,Proveedor A,14.0,ok
91,patin hgh25 ,Herramientas,2025-05-24,118.0,18,23.0,113,28.0,Proveedor B,4.0,ok
92,ENCODER CABLE (3 METERS),Electrico,2025-05-11,185.0,5,17.0,173,46.0,Proveedor A,3.0,ok
93,"BANDA 2 TELAS REVES PU AZUL ESP 1,5mm ANSTIESTATIC ANCHO 550mm DESARROLLO 5490mm UNION SIN FIN CON GUIA INFERIOR CENTRADA K10X6",Hidraulico,2025-04-28,29.0,25,9.0,45,11.0,Proveedor C,11.0,ok
94,"BANDEJA MAS 2 C/LASER 3,2",Herramientas,2025-01-21,35.0,10,36.0,9,28.0,Proveedor C,10.0,critico
95,bulon allen 10x10x20,Categoria desconocida,2025-04-29,130.0,17,16.0,131,17.0,Proveedor A,2.0,ok
96,allen cabeza boton m 8 ,Hidraulico,2025-03-02,189.0,12,9.0,192,22.0,Proveedor B,4.0,ok
97,llave interruptor tripolar ,Hidraulico,2025-01-07,20.0,23,11.0,32,13.0,Proveedor A,9.0,ok
98,CABLE 3X034,Mecanica,2025-06-14,135.0,24,31.0,128,16.0,Proveedor A,3.0,ok
99, arandelas planas m8,Electrico,2025-03-21,193.0,18,27.0,184,21.0,Proveedor A,4.0,ok
100,conector electro valvula,Mecanica,2025-05-04,,20,42.0,162,16.0,Proveedor A,7.0,ok
101,chapa negra 1200x 1000x 2mm,Herramientas,2025-03-23,171.0,13,26.0,158,33.0,Proveedor C,1.0,ok
102,bornes blancos de 2.5 ,Mecanica,2025-01-09,186.0,0,19.0,167,30.0,Proveedor B,5.0,ok
103,motor  ka29t drn80m4,Hidraulico,2025-05-02,113.0,13,14.0,112,20.0,Proveedor A,3.0,ok
104,"TUERCA EXAGONAL DORADA MA 4X0,70 MCN",Herramientas,2025-06-28,131.0,11,14.0,128,46.0,Proveedor B,9.0,ok
105,SKT TORN ALLEN C/CIL. 12.9 M5X20,Hidraulico,2025-03-24,166.0,8,6.0,168,39.0,Proveedor B,10.0,ok
106,ALLEN C/CILINDRIC MET8X20 304,Mecanica,2025-05-12,106.0,3,20.0,89,47.0,Proveedor A,5.0,ok
107,SPAGUE. ALTA TEMPERATURA DIAM. 6,Hidraulico,2025-05-30,153.0,18,22.0,149,25.0,Proveedor B,9.0,ok
108,ALLEN C/FRESADA MET. 4X30 304,Herramientas,2025-06-01,50.0,17,9.0,58,19.0,Proveedor A,3.0,ok
109,TOMACORRIENTES ENCAPSULADO 220V,Mecanica,2025-01-29,90.0,22,18.0,94,28.0,Proveedor C,5.0,ok
110,A-SKT TORN ALLEN C/CIL M6X20 1.00,Electrico,2025-06-21,165.0,12,22.0,155,30.0,Proveedor A,10.0,ok
111,gabinete  ext ,Mecanica,2025-05-28,131.0,34,26.0,139,21.0,Proveedor A,6.0,ok
112,"Server driver $, 400W F",Hidraulico,2025-01-04,131.0,4,20.0,115,18.0,Proveedor C,5.0,ok
113,varilla roscada 1/2,Mecanica,2025-03-09,60.0,5,13.0,52,25.0,Proveedor C,13.0,ok
114,mordaza en cruz,Electrico,2025-03-10,149.0,22,15.0,156,34.0,Proveedor C,12.0,ok
115,Tuerca autofrenante metrica 5 304,Hidraulico,2025-02-03,54.0,16,25.0,45,49.0,Proveedor B,2.0,critico
116,tubo termocontraible ,Electrico,2025-06-10,62.0,26,20.0,68,29.0,Proveedor B,2.0,ok
117,caño aluinio red,Hidraulico,2025-01-07,149.0,14,16.0,147,22.0,Proveedor B,14.0,ok
118,TUERCA AUTOFRENANTE MET 8 304,Hidraulico,2025-04-06,75.0,20,36.0,59,26.0,Proveedor C,8.0,ok
119,allen m6x20,Herramientas,2025-06-17,61.0,17,19.0,59,48.0,Proveedor A,14.0,bajo
120,cable olflex,Electrico,2025-03-02,86.0,25,22.0,89,38.0,Proveedor A,13.0,error
121,pulsador de emergencia  c /retorno,Herramientas,2025-05-29,78.0,22,18.0,82,43.0,Proveedor A,7.0,ok
122,Reductor 63 1.75,Electrico,2025-02-25,65.0,21,14.0,72,41.0,Proveedor A,8.0,ok
123,tuerca exag m5,Electrico,2025-01-13,35.0,18,18.0,35,44.0,Proveedor A,7.0,critico
124,arandela biselada  1/2 zinc mcn,Mecanica,2025-02-22,43.0,8,19.0,32,23.0,Proveedor B,10.0,bajo
125,caños 100x100x 2mm,Hidraulico,2025-04-25,139.0,13,15.0,137,24.0,Proveedor A,1.0,ok
126,base para anclar diámetro 100 con rosca metálica alto 100 mm pieza 404,Electrico,2025-01-27,95.0,14,27.0,82,47.0,Proveedor B,7.0,ok
127,TUBO FESTO PUN 6X1,Herramientas,2025-01-27,51.0,11,11.0,51,31.0,Proveedor A,10.0,ok
128,rodamiento lineal scs16 luu,Mecanica,2025-04-30,82.0,2,4.0,80,38.0,Proveedor B,4.0,ok
129,BULON CAB.EXAG 10X16,Herramientas,2025-01-17,165.0,6,24.0,147,28.0,Proveedor B,14.0,ok
130,2 chapas de 16 de 1220x2440,Mecanica,2025-03-24,31.0,12,26.0,17,27.0,Proveedor B,9.0,critico
131,ucf 206 rec acet  x 39 mm ,Herramientas,2025-04-16,97.0,20,3.0,114,29.0,Proveedor A,9.0,ok
132,"TERMINALES DE CONEXION RAPIDA EMPALME DERIVACION 2 ENTRADAS /2 SALIDAS HASTA 2,5 MM",Mecanica,2025-04-26,141.0,19,38.0,122,12.0,Proveedor A,11.0,ok
133,ALLEN C/CILINDRIC. MET 6X25 304,Mecanica,2025-02-19,61.0,7,1.0,67,47.0,Proveedor A,2.0,bajo
134,PINCEL N,Hidraulico,2025-04-30,164.0,10,,157,25.0,Proveedor B,1.0,ok
135,cable 5x6 ,Herramientas,2025-01-31,71.0,18,5.0,84,35.0,Proveedor C,14.0,ok
136,Inserto wnmg 080408-mm 2025,Hidraulico,2025-01-11,101.0,-362,8.0,113,27.0,Proveedor B,12.0,ok
137,INSERTO CNMG 120408-MM,Electrico,2025-04-20,27.0,2,14.0,15,25.0,Proveedor B,14.0,error
138,perillas codigo 422,Hidraulico,2025-03-23,90.0,17,17.0,90,36.0,Proveedor A,8.0,ok
139,Cajaporta Rod 4 agujeros plastica con R.D25 INOX,Electrico,2025-04-22,22.0,14,26.0,10,16.0,Proveedor C,13.0,critico
140,BULON CAB.EXAG 6X25,Hidraulico,2025-03-13,160.0,5,48.0,117,19.0,Proveedor B,10.0,ok
141,terminales de conrccion rapida ,Electrico,2025-05-03,29.0,21,28.0,22,44.0,Proveedor B,7.0,critico
142,tuerca comun ,Electrico,2025-01-01,147.0,24,18.0,153,18.0,Proveedor A,8.0,ok
143,SKT TORN ALLEN C/CIL. 12.9 M12X12,Mecanica,2025-03-17,144.0,12,10.0,146,16.0,Proveedor C,11.0,ok
144,chaveta r diam 2 ,Mecanica,2025-06-27,97.0,24,12.0,109,19.0,Proveedor B,8.0,ok
145,Borne de puesta a tierra p/conduct. 4mm,Hidraulico,2025-05-31,57.0,11,29.0,39,27.0,Proveedor B,9.0,bajo
146,INTERFACE 1 INV 6A 24VDC,Electrico,2025-03-23,80.0,3,36.0,47,38.0,Proveedor A,1.0,bajo
147,Placa teflon ancho 380 x alto 505 x espesor 27 mm,Hidraulico,2025-02-19,138.0,11,11.0,138,35.0,Proveedor A,14.0,ok
148,Variadores 1 hp mono,Herramientas,2025-06-11,74.0,17,20.0,71,36.0,Proveedor B,5.0,ok
149,C-SKT TORN ALLEN C/FRE C M6X12 1.00,Electrico,2025-05-19,55.0,14,16.0,53,28.0,Proveedor B,7.0,ok
150,FICHAS SPEAKON 4PINES HEMBRA,Hidraulico,2025-03-29,177.0,29,34.0,172,30.0,Proveedor C,9.0,ok
151,resorte  s21 azul ,Mecanica,2025-05-26,194.0,14,46.0,162,11.0,Proveedor C,2.0,ok
152,ELECTROVALVULA NEUMATICA VUVS-LK25-BS2-D-G14,Herramientas,2025-03-06,135.0,23,29.0,129,20.0,Proveedor C,4.0,ok
153,piñon z12 eje 25 ,Hidraulico,2025-06-21,63.0,11,5.0,69,12.0,Proveedor A,5.0,ok
154,ALLEN C/CILINDRIC. MET 8X30 304,Electrico,2025-02-22,28.0,8,20.0,16,46.0,Proveedor C,10.0,critico
155,UCF 204,Herramientas,2025-05-27,69.0,19,11.0,77,12.0,Proveedor A,11.0,ok
156,Barril de 50 litros,Hidraulico,2025-03-14,157.0,1,20.0,138,39.0,Proveedor A,2.0,ok
157,tuerca exag m5,Hidraulico,2025-02-04,144.0,31,37.0,138,43.0,Proveedor B,3.0,ok
158,"TERMINAL OJAL PREAISLADA 0,5 - 1,5 MM",Herramientas,2025-01-24,66.0,17,29.0,54,44.0,Proveedor B,10.0,bajo
159,varilla roscada 5/8,Hidraulico,2025-01-07,154.0,21,33.0,142,36.0,Proveedor B,8.0,ok
160,PULSADOR RASANTE METALICO VERDE,Herramientas,2025-03-20,97.0,11,29.0,79,35.0,Proveedor A,8.0,ok
161,BASCULANTE MACHO DIAM. 32 T,Hidraulico,2025-01-16,178.0,17,20.0,175,23.0,Proveedor A,14.0,ok
162,retenes 30-62-10,Herramientas,2025-03-31,73.0,14,29.0,58,28.0,Proveedor A,8.0,ok
163,ROLDANA PARA PIÑON Z 12 EJE DIAM 25 MECANIZADO,Hidraulico,2025-04-04,170.0,4,26.0,148,34.0,Proveedor A,9.0,ok
164,"SM A5 400W 3000RPM 1,27 NM",Hidraulico,2025-03-31,63.0,15,19.0,59,33.0,Proveedor B,9.0,ok
165,"Borne BPN-2,5 p/cab.flex/rig.2,5mm POLIAMIDA",Herramientas,2025-03-12,20.0,9,12.0,17,23.0,Proveedor A,3.0,critico
166,tubo 40x40x2,Hidraulico,2025-03-14,102.0,13,13.0,102,46.0,Proveedor C,8.0,ok
167,VARILLA ROSCADA HO ZIB/AZUL10X1.5,Mecanica,2025-06-02,128.0,13,29.0,112,18.0,Proveedor C,11.0,ok
168,"RACOR CODO 1/8""-6",Hidraulico,2025-01-09,133.0,16,29.0,120,18.0,Proveedor C,14.0,ok
169,borne de paso rojo 2.5 mm,Electrico,2025-05-19,117.0,17,12.0,122,31.0,Proveedor B,1.0,ok
170,dif ajuste 2.5,Herramientas,2025-02-09,36.0,18,41.0,13,49.0,Proveedor C,1.0,critico
171,2 chapas de 16 de 1220x2440,Mecanica,2025-05-26,136.0,4,10.0,130,42.0,Proveedor C,5.0,ok
172,Poliuretano Blanco Puro x 4L,Herramientas,2025-05-04,36.0,0,25.0,11,44.0,Proveedor B,13.0,critico
173,borne de paso gris 4 mm,Hidraulico,2025-03-21,134.0,12,6.0,140,20.0,Proveedor C,2.0,ok
174,BOBINA QUEEN DOBLE HOJA 25 X 2 U,Herramientas,2025-06-29,86.0,8,1.0,93,49.0,Proveedor B,9.0,ok
175,redondo trafilado 25 mm,Hidraulico,2025-01-01,102.0,17,30.0,89,32.0,Proveedor A,10.0,ok
176,"Reductor de velocidad 50 1 7,5",Herramientas,2025-05-01,179.0,5,11.0,173,39.0,Proveedor B,3.0,ok
177,MORDAZA SIMPLE D. 10MM C/VASTAGO 12X100,Electrico,2025-03-28,50.0,16,8.0,58,22.0,Proveedor B,9.0,ok
178,TEFLON DE 4X85X1640,Hidraulico,2025-05-25,176.0,16,26.0,166,26.0,Proveedor A,14.0,ok
179,Tornillos autoperforantes de 8x3/4,Mecanica,2025-02-22,176.0,8,12.0,172,21.0,Proveedor B,2.0,ok
180,Banda Panar,Electrico,2025-04-24,195.0,25,46.0,174,18.0,Proveedor B,9.0,ok
181,"Elect,Tungsteno-diametroA/Dorado",Hidraulico,2025-04-21,106.0,23,19.0,110,49.0,Proveedor A,5.0,ok
182,"CABLE ULTRAFLEXIBLE 4 X 0,34 MM",Mecanica,2025-06-08,71.0,16,15.0,72,25.0,Proveedor A,10.0,ok
183,fuentye switching para tira led  ,Herramientas,2025-05-31,105.0,16,29.0,92,29.0,Proveedor B,10.0,ok
184,macizo retificado d 12 para eje lineal ,Mecanica,2025-03-27,135.0,21,8.0,148,13.0,Proveedor A,6.0,ok
185,TUERCA AUTOFRENANTE MET 8 304,Mecanica,2025-03-27,105.0,16,38.0,83,12.0,Proveedor B,7.0,ok
186,rele de estad solido,Hidraulico,2025-04-01,145.0,26,13.0,158,17.0,Proveedor A,13.0,ok
187,tuerca comun ,Mecanica,2025-05-23,104.0,15,22.0,97,37.0,Proveedor B,9.0,ok
188,Barra de resina acetalica diam. 55 x 300mm,Herramientas,2025-05-19,31.0,4,18.0,17,23.0,Proveedor A,8.0,critico
189,perillas codigo 422,Mecanica,2025-03-17,107.0,16,21.0,102,30.0,Proveedor C,7.0,ok
190,puente bornera relay,Electrico,2025-01-16,68.0,7,14.0,61,40.0,Proveedor B,12.0,ok
191,Micrometro 25-50mm/0-25mm,Electrico,2025-02-19,165.0,4,13.0,156,14.0,Proveedor A,11.0,error
192,arandela PL 9/16,Mecanica,2025-06-13,144.0,27,19.0,152,30.0,Proveedor A,11.0,ok
193,Reductores 1/10 cuerpo 40,Electrico,2025-06-28,173.0,16,18.0,171,34.0,Proveedor C,8.0,ok
194,"ROSCA C/TUERCA EPOXI 1/2""",Electrico,2025-04-15,156.0,9,19.0,146,23.0,Proveedor C,6.0,ok
195,UCF 204,Herramientas,2025-04-06,131.0,9,33.0,107,39.0,Proveedor A,10.0,ok
196,10 electrodos 220669,Hidraulico,2025-04-30,84.0,15,23.0,76,39.0,Proveedor B,12.0,ok
197,5a42 valvula accionamiento neumatico 5/2 ,Herramientas,2025-02-08,27.0,12,38.0,1,45.0,Proveedor B,9.0,critico
198,removedor pintura ,Hidraulico,2025-06-20,136.0,17,26.0,127,26.0,Proveedor A,13.0,ok
199,ALLEN C/CILINDRIC. MET 6X25 304,Mecanica,2025-01-15,144.0,12,29.0,127,20.0,Proveedor C,14.0,ok
200,si32kit kit armado dim 32,Herramientas,2025-05-24,134.0,12,18.0,128,23.0,Proveedor B,5.0,ok
201,PULSADOR RASANTE METALICO NEGRO,Categoria desconocida,2025-05-18,144.0,10,34.0,120,14.0,Proveedor A,9.0,ok
202,discos corte 110 x 1,Mecanica,2025-03-06,114.0,4,6.0,112,32.0,Proveedor B,14.0,ok
203,Bulon exag 10x30,Electrico,2025-05-28,176.0,2690,16.0,170,48.0,Proveedor B,14.0,ok
204,chaveta r diam 2 ,Hidraulico,2025-03-16,181.0,6,9.0,178,44.0,Proveedor B,2.0,ok
205,maziso inox x10 mm ,Herramientas,2025-06-28,176.0,34,20.0,190,47.0,Proveedor A,9.0,ok
206,inserto tpkr 1603,Hidraulico,2025-05-30,162.0,22,24.0,160,33.0,Proveedor B,1.0,ok
207,maziso inox x10 mm ,Mecanica,2025-04-25,181.0,11,16.0,176,46.0,Proveedor B,9.0,ok
208,MOTOR ASINCRONO C/MOTOREDUCTOR 200-SEW-KA29/T DRN80M4,Herramientas,2025-02-06,53.0,21,13.0,61,11.0,Proveedor B,3.0,ok
209,cable multifilar,Mecanica,2025-01-06,44.0,15,24.0,35,33.0,Proveedor C,10.0,bajo
210,banda sin fin 550x5490,Mecanica,2025-04-19,88.0,15,7.0,96,34.0,Proveedor A,2.0,ok
211,arandela PL 9/16,Categoria desconocida,2025-02-08,168.0,14,14.0,168,28.0,Proveedor C,8.0,ok
212,variador 7 hp,Mecanica,2025-02-22,106.0,25,15.0,116,16.0,Proveedor C,2.0,ok
213,juego puntera,Mecanica,2025-04-19,169.0,18,21.0,166,15.0,Proveedor A,6.0,ok
214,CAÑO ALUMINIO 40X40X3,Hidraulico,2025-04-25,45.0,7,0.0,52,35.0,Proveedor B,3.0,bajo
215,SKT TORN ALLEN C/CIL. 12.9 M6X12,Electrico,2025-06-04,27.0,0,19.0,8,13.0,Proveedor B,10.0,critico
216,BISELADA M4X10 ZINC,Hidraulico,2025-04-15,182.0,25,29.0,178,18.0,Proveedor B,2.0,ok
217,BASE VALVULA MOD. 4V200M-ZYM-164,Herramientas,2025-05-16,91.0,15,6.0,100,16.0,Proveedor C,4.0,ok
218,piñon z12 eje 25 ,Herramientas,2025-02-28,170.0,7,24.0,153,36.0,Proveedor A,13.0,ok
219,discos corte de 110 x 1mm,Hidraulico,2025-04-19,157.0,18,14.0,161,45.0,Proveedor C,3.0,ok
220,Placa teflon ancho 380 x alto 505 x espesor 27 mm,Herramientas,2025-06-21,180.0,14,4.0,190,12.0,Proveedor C,3.0,ok
221,"BANDEJA MAS 2 C/LASER 3,2",Electrico,2025-01-26,58.0,11,18.0,51,36.0,Proveedor C,1.0,bajo
222,ZEN Rodamientos. Bolas 61900-2RS,Mecanica,2025-01-08,102.0,5,12.0,95,35.0,Proveedor A,4.0,ok
